登山詩,明‧唐寅,一上一上又一上，一上直到高山上。舉頭紅日白雲低，四海五湖皆一望。
塞下曲·其三,唐‧盧綸,月黑雁飛高，單于夜遁逃。欲將輕騎逐，大雪滿弓刀。
新嫁娘,唐‧王建,三日入廚下，洗手作羹湯；未諳姑食性，先遣小姑嘗。
八陣圖,唐‧杜甫,功蓋三分國，名成八陣圖。江流石不轉，遺恨失吞吳。
道上行,宋‧楊萬里,城中雪一尺，山中雪一丈。地上都已消，卻在松梢上。
終南望餘雪,唐‧祖詠,終南陰嶺秀，積雪浮雲端；林表明霽色，城中增暮寒。
宿建德江,唐‧孟浩然,移舟泊煙渚，日暮客愁新。野曠天低樹，江清月近人。
送靈澈,唐‧劉長卿,蒼蒼竹林寺，杳杳鐘聲晚。荷笠帶斜陽，青山獨歸遠。
秋夜寄邱員外,唐‧韋應物,懷君屬秋夜，散步詠涼天。空山松子落，幽人應未眠。
問劉十九,唐‧白居易,綠螘新醅酒，紅泥小火爐。晚來天欲雪，能飲一杯無？
尋隱者不遇,唐‧賈島,松下問童子，言師採藥去。只在此山中，雲深不知處。
渡漢江,唐‧李頻,嶺外音書絕，經冬復歷春。近鄉情更怯，不敢問來人。
哥舒歌,唐‧西鄙人,北斗七星高，哥舒夜帶刀。至今窺牧馬，不敢過臨洮。
詠鵝,唐‧駱賓王,鵝，鵝，鵝，曲項向天歌。白毛浮綠水，紅掌撥清波。
長干行·其一,唐‧崔顥,君家何處住，妾住在橫塘。停船暫借問，或恐是同鄉。
送崔九,唐‧裴迪,歸山深淺去，須盡丘壑美。莫學武陵人，暫游桃源裡。
京師得家書,明‧袁凱,江水三千里，家書十五行。行行無別語，只道早還鄉。
無題,佚名,一去二三里，煙村四五家。亭臺六七座，八九十枝花。
江南可採蓮,漢‧佚名,江南可採蓮，蓮葉何田田，魚戲蓮葉間。魚戲蓮葉東，魚戲蓮葉西，魚戲蓮葉南，魚戲蓮葉北。
彈琴,唐‧劉長卿,泠泠七弦上，靜聽松風寒。古調雖自愛，今人多不彈。
